id,Hardness
10407,2.2447038862580264
10408,2.9816768410094707
10409,6.057493409630426
10410,4.0252023999737645
10411,6.180580306667615
10412,4.6798035133943365
10413,3.7570595169337735
10414,5.385486430590966
10415,3.173753209604238
10416,4.398024940770002
10417,5.39572135684549
10418,4.661181843356634
10419,5.860523608443669
10420,4.172710790221383
10421,4.772178286553232
10422,4.96721493189088
10423,4.398381196281097
10424,5.030526745475672
10425,5.446558601745967
10426,2.7724066499181093
10427,4.55794853294634
10428,4.237365327298972
10429,5.986147096611204
10430,2.1233623324085213
10431,3.3211961011221236
10432,5.598594624259824
10433,5.721894254750409
10434,4.642411682056312
10435,5.559273963585808
10436,5.904847995856514
10437,5.502285936119223
10438,6.048211545227619
10439,6.277418962345004
10440,4.241461132703186
10441,2.328294872322565
10442,3.9460117027502437
10443,2.6659701011838
10444,3.6263022871712
10445,4.99678811179552
10446,3.34837922967678
10447,4.376671175663056
10448,5.469739827978085
10449,4.624685595948383
10450,6.078275029774475
10451,5.255856965239217
10452,3.0685634286612524
10453,5.786916664878737
10454,4.157662129717491
10455,2.608547426710633
10456,4.525436337207696
10457,2.591109524488207
10458,9.204047265397687
10459,5.39166726897642
10460,3.6606174730549323
10461,5.452083089144562
10462,5.061660942524924
10463,5.463359386058975
10464,5.857719593852798
10465,2.9442639092372764
10466,6.2280411751909455
10467,5.781614105853641
10468,2.8515734774688943
10469,5.291617833067664
10470,4.708359281019297
10471,5.707164949477563
10472,2.071613710352963
10473,6.060273433974234
10474,1.9128118767432007
10475,5.5846497699747655
10476,4.490515594937093
10477,5.5096558534663185
10478,4.568568299846689
10479,4.6656058317359514
10480,4.002521207773611
10481,3.4698925447226725
10482,5.69961927246912
10483,5.728778670879225
10484,1.8607318577231835
10485,2.601275868260211
10486,3.8724401062573928
10487,2.7616630993928806
10488,5.14762517463733
10489,4.576625311960792
10490,4.048401221686198
10491,5.818895115501111
10492,5.1488913264136835
10493,2.8050559675318922
10494,3.309048047967035
10495,3.00152300873913
10496,3.5649986357912407
10497,5.11729075655679
10498,6.060916540680915
10499,5.9133425623817155
10500,4.553641102062384
10501,3.1593483752614877
10502,6.474655425901644
10503,6.03601067303931
10504,5.825067218154543
10505,3.345104195891957
10506,4.17692196019532
10507,5.879482774710193
10508,2.8041745719669575
10509,3.7156974911850216
10510,4.610999540770983
10511,2.280575812882424
10512,5.529057338690371
10513,5.768140302525184
10514,4.009392143880655
10515,2.3881111441407303
10516,3.626855255295058
10517,5.713859766696744
10518,5.25017820271141
10519,6.129143910802915
10520,5.427843917193009
10521,4.174238845027494
10522,5.3836169128898215
10523,4.050483244191772
10524,4.535106694158034
10525,3.6730490171064254
10526,2.5321793985972065
10527,5.939856419805808
10528,6.11791677081518
10529,2.9780050854106777
10530,4.471217608736977
10531,5.117929880161183
10532,6.393058578654875
10533,5.383059378855198
10534,6.13387396614358
10535,4.801090143113175
10536,4.715301672749049
10537,5.318177148337492
10538,5.4539365181446655
10539,5.400753863963203
10540,3.4035974467597288
10541,2.028704325602146
10542,3.8732786318087995
10543,6.08037839563337
10544,4.786139596283392
10545,4.925946756225684
10546,5.308879142519862
10547,5.604561252901184
10548,5.868712588100474
10549,4.81588540097041
10550,5.753952916120064
10551,4.227692424809815
10552,5.827654075295643
10553,5.456622752874145
10554,3.95523836814082
10555,2.9262585298084836
10556,5.027400279644619
10557,5.554957045079461
10558,5.604644220269346
10559,3.6177806459040114
10560,2.5835943150060863
10561,5.546529491069824
10562,5.836601197794536
10563,3.417051914996179
10564,2.4240306195906114
10565,3.9656012079977008
10566,3.8955402886600186
10567,3.7987891678884282
10568,3.0224249419508697
10569,5.060424711444928
10570,4.868937099909343
10571,6.048052594260513
10572,5.613322434863672
10573,5.457584828181605
10574,2.6339113840485395
10575,3.700490743860063
10576,2.1947657801778515
10577,1.8052049577767986
10578,5.81467160814051
10579,5.745633026860103
10580,2.3071038928982004
10581,5.982828307081387
10582,4.099165445529353
10583,2.603336186982999
10584,4.683820478587214
10585,3.4432298248070756
10586,2.693107313989671
10587,4.959159698905053
10588,3.2522520526284233
10589,5.8746588080089595
10590,3.136162934376786
10591,5.728084008570038
10592,3.3439009140026688
10593,5.672507938567878
10594,5.730603507270581
10595,5.295894465272896
10596,4.900303398377824
